method,precision,recall,f1_score,false_positive_rate,true_negatives,false_positives,false_negatives,true_positives
IQR,0.9069767441860465,0.52,0.6610169491525424,0.017777777777777778,221,4,36,39
K-Means,1.0,0.36,0.5294117647058824,0.0,225,0,48,27
Isolation Forest,0.8518518518518519,0.6133333333333333,0.7131782945736435,0.035555555555555556,217,8,29,46
Random Forest,0.8518518518518519,0.6133333333333333,0.7131782945736435,0.035555555555555556,217,8,29,46
Hybrid,0.9215686274509803,0.6266666666666667,0.746031746031746,0.017777777777777778,221,4,28,47
